epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,40.2258,1.83494,5.43326,1.05055,0.00261,0.78378,0.00462,0.0021,1.231,4.60623,0.83757,0.00016,0.00016,0.00016
2,74.114,1.84409,3.62739,1.01234,0.00279,0.83784,0.00462,0.0021,1.59178,4.62982,0.90764,0.000333268,0.000333268,0.000333268
3,108.244,1.78576,3.35622,1.04707,0.00297,0.89189,0.00695,0.00267,1.53624,4.39922,0.89665,0.000499408,0.000499408,0.000499408
4,142.226,1.67353,2.78694,0.9676,0.00306,0.91892,0.00655,0.00309,1.24254,4.26059,0.85096,0.00065842,0.00065842,0.00065842
5,176.132,1.60394,2.40701,0.96627,0.00261,0.78378,0.00336,0.00143,1.5481,18.692,0.93417,0.000810304,0.000810304,0.000810304
6,209.826,1.68036,2.34625,0.96548,0.00171,0.51351,0.00199,0.00085,1.79253,17.5391,1.07656,0.00095506,0.00095506,0.00095506
7,243.725,1.55256,2.07803,0.98701,0.00189,0.56757,0.00384,0.00184,1.5486,4.29169,0.9577,0.00109269,0.00109269,0.00109269
8,277.236,1.51206,1.91259,0.9332,0.00207,0.62162,0.00632,0.00379,1.72251,4.47693,1.02662,0.00122319,0.00122319,0.00122319
9,311.163,1.48348,1.87251,0.94998,0.00261,0.78378,0.14107,0.08723,1.77104,3.72937,1.01323,0.00134656,0.00134656,0.00134656
10,344.882,1.37783,1.69971,0.93228,0.01537,0.59459,0.28916,0.18967,1.61954,3.60884,0.97907,0.0014628,0.0014628,0.0014628
11,378.532,1.46601,1.6634,0.92573,1,0.48767,0.82849,0.49887,1.51348,2.84369,0.93047,0.00157192,0.00157192,0.00157192
12,413.296,1.50901,1.72954,0.94964,0.99484,0.81081,0.86455,0.45654,1.66227,2.02946,1.02499,0.0015644,0.0015644,0.0015644
13,447.312,1.33596,1.50619,0.92265,0.96333,0.71019,0.73731,0.37489,1.81181,2.1421,1.07133,0.0015248,0.0015248,0.0015248
14,481.039,1.45587,1.50082,0.92916,1,0.68458,0.80901,0.50997,1.40133,2.27587,0.91391,0.0014852,0.0014852,0.0014852
15,515.229,1.40391,1.40767,0.91933,0.15811,0.54054,0.25848,0.15767,1.77337,2.80331,0.99685,0.0014456,0.0014456,0.0014456
16,548.941,1.42487,1.42952,0.92767,0.07309,0.79918,0.06814,0.04154,1.47919,5.98269,0.91271,0.001406,0.001406,0.001406
17,582.563,1.43347,1.26155,0.92018,0.89163,0.64865,0.77567,0.50264,1.33724,2.13387,0.88537,0.0013664,0.0013664,0.0013664
18,616.072,1.34044,1.20548,0.89438,1,0.73508,0.82126,0.51826,1.50322,1.9639,0.92892,0.0013268,0.0013268,0.0013268
19,650.127,1.253,1.13825,0.8957,0.99457,0.86486,0.86868,0.51043,1.57527,1.76832,0.94216,0.0012872,0.0012872,0.0012872
20,683.75,1.31892,1.16664,0.89263,0.96579,0.86486,0.87702,0.50647,1.38068,1.60564,0.88839,0.0012476,0.0012476,0.0012476
21,717.237,1.29773,1.19333,0.8892,0.99146,0.86486,0.8799,0.58241,1.26014,1.45396,0.86942,0.001208,0.001208,0.001208
22,751.073,1.27267,1.09339,0.8983,0.99618,0.83784,0.88248,0.56625,1.44794,1.39094,0.90915,0.0011684,0.0011684,0.0011684
23,785.182,1.30173,1.1333,0.91111,0.99757,0.83784,0.84337,0.56842,1.30639,1.44585,0.88081,0.0011288,0.0011288,0.0011288
24,819.259,1.265,1.06174,0.87426,1,0.83588,0.86384,0.5662,1.45549,1.34798,0.90505,0.0010892,0.0010892,0.0010892
25,1243.78,1.29635,1.03277,0.89008,0.99194,0.83784,0.86539,0.57306,1.42336,1.2718,0.90635,0.0010496,0.0010496,0.0010496
26,1276.96,1.3213,0.99817,0.88384,0.96665,0.83784,0.86413,0.5569,1.41209,1.27638,0.89673,0.00101,0.00101,0.00101
27,1310.69,1.28129,1.00813,0.90066,0.94053,0.85513,0.89554,0.59121,1.44178,1.2166,0.91098,0.0009704,0.0009704,0.0009704
28,1344.38,1.21515,0.91895,0.8838,0.96957,0.86136,0.89785,0.56958,1.49761,1.21304,0.91942,0.0009308,0.0009308,0.0009308
